temperture,low
5.8,2
8.3,4.5
8.6,6.8
7.5,5.1
7.1,3.6
6.1,3.9
8.7,6
7.1,2.2
7,3.7
7.4,3.4
7.4,4.3
6.7,4.6
6.9,3
6.5,4.2
7.9,4.2
8,4.8
7,5.8
8.1,5.9
7.5,5.2
5,3.8
6.7,3.5
7.4,3.8
8.2,5.4
7.6,5.5
7.9,5.2
8.4,5.1
10.1,4.5
8.9,6.4
7.7,5.8
9,5.2
10.3,6.1
8.5,5
6.3,3.7
7.3,2.8
7.4,4.8
8.5,1.8
11.2,5.5
10.2,7.5
9.8,5.9
10.3,6.4
10.8,8.9
8.8,5.5
8.4,3.3
8.9,5.6
10,7.4
9.9,5.6
8.2,4.6
6.9,3.9
6.8,4.9
9.3,6.2
7,5.8
9.8,5.9
10.9,5.7
11.1,8.9
6.6,2.2
3.7,0.2
6.1,2
9.4,3.2
10,5.9
9,5.4
9.5,5.4
11.8,8
14.3,10.1
17.1,12.7
12.8,6.5
7.7,4.8
7.9,3.8
7.6,5
9.9,5.4
9.2,5.9
7.6,2.6
7.8,3.6
7.6,3.6
8.8,4.6
7.9,4.9
6.7,4.4
6.3,3.1
7.6,4
8.3,3.6
8.9,5.4
11.7,7
12.4,8.8
13.4,9.2
15.6,11.4
14.9,11.4
13.6,10.7
15.3,10.6
18.1,10.7
13.2,9
13.1,9.9
17.7,11.7
14.3,13.1
8.8,5.9
7.3,4
9.8,5.1
11.1,6
13.2,9.9
13.6,10
12,9.4
13.8,8.2
12.1,9.2
13.3,9.1
16.7,11.3
19,14.7
15.2,12.2
10.6,7.5
9.1,7.3
8.8,6.8
9.9,6.3
14,9
19.2,15.7
20,18
15,11.5
13.1,10.6
13.2,11.5
16.4,10.4
14.2,9.6
15.2,11
16.4,11.3
19.2,11.7
17.2,14.2
19.1,14
19.5,16
21.5,16.2
22.2,19
18,15.6
19.5,16.1
20.1,15.5
23.1,18.8
20.3,14.6
18.5,14.7
19,14.4
20.7,18.1
18.9,15.7
18.4,16.1
19.1,15.7
17.8,15.4
21.2,15.2
19.2,15.6
18.9,14.6
18.1,13.8
20.8,17.2
22.4,17.8
22.4,19.5
19.1,18
23.1,18
23.2,16.4
16.3,13.6
18,13
18.7,17.1
18.8,15.3
18.4,15.7
20.9,17
21.7,18.7
21.5,18.9
21.8,19
22.2,19.2
22.4,20.4
22.4,18.8
22.2,20.5
19.8,18.5
20.9,17.5
23.5,19.4
23.6,20.3
21.8,18.4
24,17.6
24.8,19.7
22.1,18.3
23.8,21.4
26.1,21.6
25.5,23
26.4,23.5
23.9,22.5
25.4,21.4
22.9,19.4
21,19.4
22.8,20.6
26.4,22.3
26.5,23.2
27.1,25
25.4,20.1
23.3,20
24,22.7
24.3,22.4
21.5,20.8
24.7,19.7
25.8,22
23.9,22
22.9,21.3
23.7,21
23.3,22.5
24.7,22.5
24.8,22.7
24.9,23.4
22,21.1
23.8,20.9
24.8,20.8
19.8,18.4
20.5,18.2
22.2,19.6
24.5,20.7
25.2,23.4
25,22.5
25.2,23.8
26.6,22.8
26.2,22.4
27.8,24.9
28.8,26.1
28.7,25.6
27.1,22.8
22.4,19.8
23.6,19.5
27.4,23.3
28.7,25.7
28.8,27.3
30.2,27.1
29.5,26.4
29,25.9
29.4,25.8
29.7,27.1
30.1,27
31.1,27.7
31.3,28.1
29.4,26.7
29.3,26.6
30.1,27.8
31.5,27.7
32.7,29.4
31.7,25.9
25.5,24.2
28.3,25
30.5,27.4
30.2,26.3
31.7,25.7
26.5,23.1
27.5,23.9
28.2,23.9
29.2,26.5
29.3,26.4
28.6,24.1
24.9,23.1
24.5,23.2
24.6,23.1
22.4,20.7
23.5,21.2
25.4,22.3
27.2,23.4
27.2,25.5
27.3,25.3
27.1,23.8
28.4,26
27.5,25.1
26.3,24.4
24.8,23
22.1,20
23.9,19.7
25.8,22.3
27.5,24.8
28.3,26.1
29,26.5
25.1,20.9
24.4,20.1
27.3,24
27.4,24.1
27.6,24
23.7,21.5
22.4,20.8
24.9,20.3
23.2,21.2
23.6,20.9
26.7,23
18.4,15.9
16.8,15.7
18.1,16.4
19.8,17.2
21,19.6
22.1,19.1
22.5,19.7
20.8,17.7
19.9,15.7
21.1,18.5
19.2,17.6
19.9,17.9
20.8,17.6
22.1,19.9
19.5,18.2
18.3,16.1
18.6,16.7
16.2,14.9
17.9,14.8
17.7,14.9
17.4,13.9
17.5,13.6
17.2,13.7
17.6,13.4
18.9,15.6
16.8,13.3
17.8,13.6
17.4,14.9
16.8,14.1
18.6,12.8
21.3,16
18.8,16.4
17.3,14.5
17.5,14.8
16.5,14.6
15.5,13.7
15.9,12.1
16.4,13.4
16,14.1
16.3,14.8
15.9,11.8
16.2,13.4
13.2,12.1
14,12.1
15.1,9.8
16.7,12.3
16.2,12.1
16.5,11.9
12.2,10.9
10.1,6.8
11.8,6.7
9.7,7.6
10.8,5.8
10.7,7.1
8.2,5.3
9.2,6.4
9.2,4.6
12,6.4
12.2,8.1
13,10.5
11.6,10.2
9.7,9
9.9,8.3
11.4,8.8
11.6,7
10.5,7.6
9.5,6.9
8.6,4
9.9,4.2
11.1,5.3
10.6,7.9
10.1,6.6
9.9,7.1
10,7.3
10.9,7
9.2,7.4
9.8,6.8
8.5,5.2
6.9,3.6
7.5,3.9
8,3.5
7.5,5.3
8.1,5
9.4,4.4
7.1,5.1
8.3,4.5
9.7,6.3
8,5.8
6.5,3.5
7,3
8,4.8
10.6,6.6
9.5,5.3
6.5,2.7
6,1.8
6.2,1.1
5.9,1.5
7,2.7
6,4
7.5,2
8.4,4.2
9.7,3.8
10.4,8
9,5.7
9.3,4.6
6.9,4.2
4.8,2.6
4,1.9
5.4,3
5.9,3.1
3.9,1.4
3.6,2.1
4.8,2.1
5,1.2
4.9,3.4
4.4,1.4
3,1.1
5,1.8
3.4,0.8
4.1,1.5
4.1,1
4.7,0.8
5.2,4.1
8,2.9
6.2,3.7
5,1.8
4.8,2.1
1.5,0.7
4.7,-0.1
5.6,1.8
2.8,1.4
5,1.1
4.9,1.2
2.4,0.5
6.5,2.2
6.8,2.6
6.1,4.5
3.1,0.9
5.1,0
5.7,2.3
5.2,2.8
3.5,1.1
5.3,1
5.4,1.5
7.1,2.3
8.6,4.2
9.5,4
7.3,0.7
3.7,0.8
4.8,1.1
8.7,2.9
6.4,3.1
6.6,2.9
7.8,2.9
8.8,4.9
8.6,4.8
9.3,5.2
8,5.7
6.4,3.6
7.4,2.8
7.8,4.7
8.6,3.2
10.4,4.2
9,5.8
12.6,6.4
9.7,6.8
10.3,5.8
13.3,9.7
14.7,12.4
14.5,10.7
13.1,11.4
12.6,10.2
12.1,9.6
9.2,7.8
10.7,8.1
11.9,7.1
12.3,7.1
9.4,8.1
12.5,7.9
14.4,10.3
12,7.6
12.6,9.8
12.1,7.7
8.9,7.2
7.8,5.7
11.2,6.5
13,8
13.6,9.2
14.1,10.4
14.6,10.9
14.7,10.1
13.3,10.3
12.1,10.8
13.1,11.1
10.1,9.3
14.3,9.8
15.9,12
10.1,9
12.9,9.8
16.2,11
17.6,13.5
16.6,13.7
13.4,12.3
14.5,11.7
15.7,13.8
15.8,12.6
16,11.9
17.2,12.6
18.2,15.8
14.8,12.7
13.7,11.5
14.5,11.2
15.9,13.3
17.6,13.4
20.5,14.9
20.8,17.2
19.9,17.8
18.8,17.5
18.5,16.3
18.6,15.7
19.8,15.9
21.5,15.4
19.6,16.9
18.9,16.5
13.5,10.6
11.7,9.7
12.5,10.9
11.6,9.2
12.9,10.8
17.3,12.2
18.7,14.5
18.9,15.2
18.6,15.4
19.7,16
20.4,17.7
20.1,15.9
21.7,17
24.3,20
21.6,18.7
20.8,18.6
23.1,19.8
22.8,19.1
21.3,16.8
15.8,14.8
14.9,13.2
13.5,12.5
18.7,13.4
19.2,15.8
15.8,14.7
18.3,14.7
18.6,16.2
22.8,18.8
23,20.6
21.7,19.6
21.2,18.6
22.3,17.5
22.8,20.5
18.6,16.3
21.7,15.1
23.1,19.9
21.1,18.6
22.9,20.1
22.1,19.3
22.2,19.1
23.7,20.6
22.9,21.9
23.5,21.9
21,18.3
21.1,18.4
23.6,19.7
21.6,18.8
17,15.9
21.6,17.4
23.4,21.4
21,19.1
21.7,19.4
21.8,18.6
23.7,21.1
24.3,22.1
26.5,23.1
27.5,24.9
27,24.7
25.1,24
24.1,22.8
24.3,22.7
24.6,22.1
26,23.5
28,24.1
28.5,25
28.9,26.2
27.8,24.8
27.3,23.5
27.9,25.3
28.7,27.1
29.1,26
27,24.2
27,24.6
28.4,25.6
28.9,26.8
29.1,27.1
29.4,25.4
27.9,24.6
27.6,24.7
29.3,25.1
28.5,24.4
26.4,23.7
26.2,22.9
27.4,24.6
28.3,26.1
29.4,27.2
30.2,26.4
27.6,25.5
29.8,26.2
30.2,27.2
30.7,27.6
29.2,25.5
26.6,24.6
28.1,24.1
28.7,25.8
29.2,27.3
30.1,26.9
30.7,27.6
28.7,24.9
22.6,20.8
25.2,21.4
28.5,25.4
27.7,23.7
25.4,21.2
22.4,20.5
20.9,20
21.6,19.6
23.2,21.9
22.1,21.1
24.6,20.4
25.5,22.6
25.9,23.5
24.8,23.1
25.6,22.9
27.3,24.1
28.3,26
28.7,26.5
27.4,24.5
26.6,23.7
27,24.7
26.7,24.6
27.1,23.8
25.6,22.1
24.2,21.1
23.2,19.8
26.4,21.6
27,23.8
25.6,23.3
24.4,22.5
23.3,21.1
25.2,22.1
24.1,22.9
23.9,22.4
24.5,21.8
23,21.7
20.9,19.3
23.6,19
24.7,22.6
24.9,20.9
26,21
20.1,17.8
18.1,16.3
16.6,15.4
17.2,15.9
18.9,17.2
19.6,15.8
20,17.5
20.6,16.9
21,17.7
18.3,16.2
21.6,18.3
19,17.8
21.1,18.1
21.7,18.5
20.8,18.1
18.6,15.9
19.5,16
18.6,17.5
19.9,16.8
19.7,15.3
19.6,15.3
19.6,16.1
19.4,15.5
20,16
20.2,16.9
19.8,16
20.3,18.1
21,19.7
20.6,18.9
19.3,17.8
18,14.9
17.1,13.1
17,12.3
14.8,12.5
14.4,11.5
16.1,11.8
14.9,11.1
15.7,13.6
16.3,12.7
14.4,11.3
15.8,10.5
17.3,13.4
13.9,11.3
11.4,10
11.9,9.7
11.6,9.8
12.2,10.6
14.9,12.1
15.1,10.3
16.2,13.9
15.3,14.3
15.8,12.3
15.7,12.3
11.3,8.4
9.4,6.6
11,5.5
11.1,8.2
12.1,8
9.4,7.7
9.5,6.1
11,8.5
8.8,7.6
10.6,8.2
13.1,7.4
12,8.1
9.9,6.6
9.3,6.9
12.3,7.5
12.4,8
14.2,10.2
10.3,6.8
7.5,4.1
8.1,4.6
8.8,5.7
14.1,10.1
14,9.6
13.1,9.6
11.3,9.6
7.5,5.2
7.2,3.6
8.4,3.6
8.8,7.9
11.4,6.9
10,7.7
10.1,6.3
13.5,5.3
13.2,4.2
6.9,4.5
6.8,3.9
10.1,4.8
5.2,3.4
6,2.2
7.3,1.8
9.9,6.2
9,4.5
6.6,4.4
6.2,1.6
6.9,3.1
6.6,2
7.5,4.3
8.5,5.6
8.6,5.6
7,5.1
6.7,3.8
4.4,2.8
5.6,2.8
5.1,2
4.5,0.6
5.1,0
5.9,1.1
4.3,2.2
5,0.3
6.4,0.8
6,3.2
9.1,4.5
7.5,5.6
6.6,5.1
5.9,4.5
10.3,6.7
6.8,3.9
5.9,1.9
6.5,1.1
7.6,4.2
6.7,4.3
8.9,7
9.6,8.3
7.8,5.7
7.9,5.1
6.2,3.4
8.9,3.6
7.5,5.9
7.4,4.7
7.9,5
7.1,4
7.4,3.8
6.1,3.7
8.7,4.3
6.9,5.4
9.8,3.7
11.4,5.7
18.1,13.3
12.7,10.6
10.5,3.8
4.9,1.7
6.1,2.2
6.6,3
6.3,2.7
6.4,4
7.7,1.4
6.6,5.2
5.2,4.2
7.6,4.8
6.9,4.1
3.4,1.8
6.8,3.4
7.1,5.5
6.9,3.2
3.2,1.2
5.8,1.1
8.6,5.3
8.1,5.6
11.6,9.3
8.6,7.7
10.2,7.9
11.5,6.6
7.6,4.8
8.1,4.1
10,4.5
11.6,6.4
9.4,4.9
11.1,6.3
14.4,10.2
15.1,9
17.2,11.1
15.3,9.1
11.8,8.2
15.3,13
12.7,7.8
8.6,6.8
8,6.1
8,5.1
7.8,3.6
7.8,4.9
8.1,4.4
8.7,5
10.7,7.3
9.9,5.7
9.8,5.4
12.3,7.2
13.8,9.4
14.5,10.3
14.9,10.5
16,11.3
16.2,12
18.3,12.9
18.6,14.6
18.1,13.3
16.3,12.1
18.8,14.4
17.9,15.1
19.7,15.3
17.7,14.7
12.7,11.5
15.2,11.7
17.4,14.2
16.8,13.3
18.1,16.3
19.7,16.8
17.1,14
13.3,10.2
11.2,10
16.8,11.8
14.4,10.8
13,9.1
15.5,9.9
17.8,12.1
19.5,14
19.8,15.1
20,16.5
20.4,18.2
17.8,15.5
16.4,14.8
17,15.1
17.8,15.5
21,15.6
23,17.3
21.4,17.9
22.2,19.9
22.4,17.6
18.4,15.3
16.3,12.6
17.6,16
19.4,16.4
23.7,18.9
21.7,18.4
23.2,17.9
23,18.9
21.8,20.3
23.2,20.3
19.4,16.2
18.9,16.2
21.3,16.8
21.5,19.1
18.5,16.2
17.5,15.6
18.4,16.5
19.7,18
19,16.6
21.1,15.5
21.9,20.5
21.6,20.2
20,18.6
20.5,18.1
22.8,18.8
19,17.3
21.8,18.8
23.1,21
21.6,18.8
23.6,18.4
23,20.1
20.7,18.5
20.8,18
19.6,17
21.2,18.3
21.7,19.7
22.3,19.8
23.2,19.5
22.8,21.5
23.8,22.4
