,平均気温(℃),降水量の合計(mm),日照時間(時間),1日前平均気温(℃),2日前平均気温(℃),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時)
2007/1/1,5.8,0,5.3,8.3,8.6,曇,晴時々曇
2007/1/2,8.3,0,0.8,8.6,7.5,曇後雨,曇
2007/1/3,8.6,0,3.6,7.5,7.1,曇,曇時々晴
2007/1/4,7.5,0,6,7.1,6.1,薄曇後晴,薄曇時々晴
2007/1/5,7.1,0,8.2,6.1,8.7,曇後一時雨,晴
2007/1/6,6.1,32,0,8.7,7.1,晴,大雨
2007/1/7,8.7,0,6.3,7.1,7,快晴,晴後一時曇
2007/1/8,7.1,0,8.5,7,7.4,晴一時曇,晴
2007/1/9,7,0,8.9,7.4,7.4,曇時々晴,晴
2007/1/10,7.4,0,8.8,7.4,6.7,快晴,快晴
2007/1/11,7.4,0,6.1,6.7,6.9,曇一時晴,晴後曇
2007/1/12,6.7,0,3.7,6.9,6.5,曇後晴,曇後晴
2007/1/13,6.9,0,7.7,6.5,7.9,曇後晴,晴時々薄曇
2007/1/14,6.5,0,8.8,7.9,8,晴,晴
2007/1/15,7.9,0,9.2,8,7,曇時々晴,晴
2007/1/16,8,0,7.6,7,8.1,曇,晴一時曇
2007/1/17,7,3,0,8.1,7.5,雨後時々曇,曇時々雨
2007/1/18,8.1,0,2.3,7.5,5,晴,曇後晴
2007/1/19,7.5,0,5.6,5,6.7,晴一時曇,晴後時々曇
2007/1/20,5,0,0,6.7,7.4,雨後曇,曇後雨、あられを伴う
2007/1/21,6.7,0.5,2.3,7.4,8.2,雨一時曇,曇
2007/1/22,7.4,4.5,5.5,8.2,7.6,晴,雨後晴
2007/1/23,8.2,0,8.9,7.6,7.9,曇,晴後薄曇
2007/1/24,7.6,0,2.6,7.9,8.4,晴,曇後晴
2007/1/25,7.9,0,9.7,8.4,10.1,晴後一時曇,快晴
2007/1/26,8.4,2,5.5,10.1,8.9,曇一時雨,晴一時曇
2007/1/27,10.1,0,7.7,8.9,7.7,晴,晴
2007/1/28,8.9,0,3.7,7.7,9,曇,曇一時晴
2007/1/29,7.7,0,3.2,9,10.3,快晴,曇一時雨後晴
2007/1/30,9,0,9.9,10.3,8.5,晴後一時曇,快晴
2007/1/31,10.3,0,9.2,8.5,6.3,快晴,快晴
2007/2/1,8.5,0,9.4,6.3,7.3,快晴,晴
2007/2/2,6.3,0,9.6,7.3,7.4,快晴,快晴
2007/2/3,7.3,0,9.5,7.4,8.5,快晴,快晴
2007/2/4,7.4,0,9.8,8.5,11.2,快晴,快晴
2007/2/5,8.5,0,8.8,11.2,10.2,晴時々薄曇,晴
2007/2/6,11.2,0,8.5,10.2,9.8,快晴,薄曇後晴
2007/2/7,10.2,0,2.7,9.8,10.3,快晴,曇時々晴
2007/2/8,9.8,0,8.8,10.3,10.8,晴,晴
2007/2/9,10.3,1.5,4.3,10.8,8.8,雨後曇,晴後曇
2007/2/10,10.8,1,1.1,8.8,8.4,曇時々雨後一時晴,曇
2007/2/11,8.8,0,10,8.4,8.9,快晴,快晴
2007/2/12,8.4,0,10,8.9,10,快晴,快晴
2007/2/13,8.9,0,7.3,10,9.9,曇後一時雨,晴
2007/2/14,10,12.5,0,9.9,8.2,晴一時雨,雨一時曇
2007/2/15,9.9,0,10.1,8.2,6.9,快晴,晴
2007/2/16,8.2,0,9.8,6.9,6.8,晴,晴
2007/2/17,6.9,2.5,2.6,6.8,9.3,雨,曇一時晴
2007/2/18,6.8,29,1.7,9.3,7,晴後曇,雨後晴
2007/2/19,9.3,0,8.2,7,9.8,曇,晴
2007/2/20,7,0,0,9.8,10.9,曇一時雨,雨時々曇
2007/2/21,9.8,0,9.4,10.9,11.1,快晴,晴一時曇
2007/2/22,10.9,0,6.5,11.1,6.6,曇時々雨,晴時々曇
2007/2/23,11.1,10.5,0,6.6,3.7,晴,雨後一時曇
2007/2/24,6.6,0,9.7,3.7,6.1,晴一時薄曇,晴後時々薄曇
2007/2/25,3.7,0,8.5,6.1,9.4,薄曇後晴,薄曇一時晴
2007/2/26,6.1,0,10.3,9.4,10,快晴,快晴
2007/2/27,9.4,0,8.1,10,9,曇後一時雨,晴後一時曇
2007/2/28,10,0,8.9,9,9.5,快晴,晴
